gamma_init,gamma_final,rho_init,rho_final
0.765535,0.794652,0.0838171,-0.0358696
0.00261105,0.240916,0.579182,-0.0213801
362.412,362.4,0.608504,0.0438296
0.735546,0.787611,0.439445,-0.061227
52.7045,52.6729,0.400829,-0.00818813
0.743569,0.77195,0.400732,-0.042632
0.00106065,0,0.628886,1.06436
0.0756883,0,0.396247,0.605128
0.0752702,0,0.0903285,0.375573
19.2337,19.2326,0.100904,-0.0213799
605.169,605.15,0.324959,0.0748224
0.0573522,0,0.284697,0.62305
109,109.003,0.283005,0.0121363
0.00449252,0,0.729692,1.05202
0.316535,0.293703,0.218741,-0.0222546
0.0154838,0.2134,0.473024,-0.0495893
228.419,228.391,0.457614,0.045779
6.35073,6.29856,0.456046,-0.0113283
0.680995,0.727336,0.552944,-0.0376395
45.6475,45.6233,0.639595,-0.00442588
2.76846,2.76059,0.246252,-0.0321649
0.672973,0.672982,-0.0124735,-0.031321
1.43446,1.43037,0.654605,-0.0495576
193.506,193.508,0.589576,0.0438713
2.25068,2.21223,0.320477,-0.0552572
5.00313,4.97936,0.27458,-0.0184805
0.0560662,0.0482888,0.360144,-0.0479485
0.075605,0,0.303487,-7.81748
0.289278,0.284063,0.017796,-0.0112507
0.376643,0.4332,0.771287,-0.0278752
0.593441,0.587076,-0.00877905,-0.0378233
10.712,10.6788,0.347917,-0.0126668
0.0145663,0.233499,0.58285,-0.0218537
8.58781,8.54184,0.386237,-0.00998425
0.0225525,0.232957,0.301634,-0.051479
25.76,25.7607,0.0949461,-0.0190161
9.15213,9.12921,0.36685,-0.0124905
0.00184584,0,0.52527,0.47488
0.00713761,0.0488201,0.643534,-0.0539287
0.613031,0.620909,0.758174,-0.0257095
1.18664,1.18615,-0.0274447,-0.0520117
0.134841,0,0.234434,-2.09116
0.21011,0.220323,0.165999,-0.0305679
2.48349,2.36121,0.4779,-0.0454048
2.85826,2.78215,0.310198,-0.0325835
0.903074,0.907645,-0.00879323,-0.0441387
10.1796,10.1517,0.714549,-0.0157915
0.339749,0.313916,0.013653,-0.0246537
0.0103172,0.210429,0.396068,-0.0414619
0.0616221,0,0.243425,1.06084
6.60968,6.60395,0.16855,-0.0108608
383.477,383.474,0.307567,0.0650616
0.0249453,0.0485659,0.274454,-0.0621623
0.0022567,0,0.847796,0.489945
0.0526921,0,0.251942,0.205167
0.00635078,0.197264,0.721777,-0.0222443
2.8504,2.78357,0.570731,-0.0351723
0.0243293,0.259099,0.249911,-0.0143222
0.0342108,0,0.0430959,-13.7389
0.220144,0.220429,0.0128537,-0.0274464
12.5528,12.4917,0.333255,-0.0164237
2.09215,2.04231,-0.00224757,-0.0487005
829.961,829.905,0.621493,0.0932481
0.0044817,0.221467,0.821763,-0.0555681
0.364416,0.364515,0.0115681,-0.0190021
66.9361,66.9023,0.536814,0.0076046
1.10722,1.1095,0.0834587,-0.0481627
76.8232,76.8128,0.21253,0.0137939
0.0431572,0.228907,0.183382,-0.0258831
0.401307,0.323379,0.80425,-0.0251825
2.7127,2.70775,0.0923714,-0.0384556
0.00260253,0,0.791164,0.868985
0.0721887,0,0.142117,0.400044
145.546,145.561,0.389246,0.0220512
0.0364202,0.194715,0.208466,-0.0643728
0.0039435,0,0.851009,0.170367
811.528,811.524,0.465679,0.0996575
0.226301,0.246033,0.500356,-0.0124873
187.487,187.487,0.329154,0.0521317
392.257,392.239,0.398749,0.0708082
1.41221,1.41767,0.471505,-0.0601683
16.5617,16.5305,0.555024,-0.0276537
0.00832401,0,0.788064,1.04927
0.020106,0.204861,0.491917,-0.0460843
0.00211956,0.202222,0.500415,-0.0473101
11.0133,10.98,0.713879,-0.0227664
76.4958,76.4805,0.628884,0.00929415
0.403497,0.411281,0.122259,-0.0243578
0.163596,0.195886,0.526794,-0.0422454
0.0648991,0,0.176742,1.00687
0.0147125,0,0.391674,-20.412
2.46206,2.36842,0.670205,-0.0432676
17.3607,17.2932,0.165931,-0.0207635
440.089,440.078,0.339217,0.0826818
92.3586,92.3586,0.211655,0.00361091
0.878768,0.88643,0.651893,-0.0436064
0.838584,0.839721,0.187144,-0.0665185
0.0924818,0,0.228857,0.871904
130.495,130.501,0.427835,0.016691
0.098969,0.147545,0.503846,-0.0370355
0.0108947,0.151199,0.754204,-0.0248908
136.678,136.68,0.4631,0.00752813
9.69115,9.61417,0.370814,-0.0158625
0.016768,0.24158,0.557415,-0.0210311
162.727,162.722,0.575641,0.0545295
238.132,238.116,0.42615,0.0560849
0.086677,0,0.34137,1.05074
0.0110278,0,0.583555,0.158538
4.2152,4.15754,0.282385,-0.0148921
0.00374476,0.206754,0.872907,-0.0501393
0.00260017,0.216619,0.446888,-0.0350372
4.72055,4.66039,0.593997,-0.0170593
2.64625,2.61332,0.389682,-0.0353184
0.0930611,0,0.371923,1.05359
0.00340795,0,0.85414,1.05383
7.78008,7.77481,0.104947,-0.0285606
8.72556,8.71699,0.206592,-0.0199251
51.1224,51.115,0.291403,0.000492632
0.0067778,0,0.556435,0.639894
374.88,374.879,0.154551,0.0764319
204.998,204.976,0.69387,0.0554203
0.0286582,0.215404,0.378269,-0.0317048
9.79445,9.76324,0.0980715,-0.0249978
0.0090221,0,0.549898,1.0595
5.48738,5.48201,0.222474,-0.0153556
0.85583,0.845906,0.0821458,-0.0440503
0.875718,0.891102,0.543283,-0.0351467
0.0455421,0,0.123039,0.710314
0.00238735,0,0.430039,-1.02454
112.271,112.269,0.32476,0.00753361
0.0809146,0,0.362491,-0.310479
248.74,248.732,0.364464,0.0568988
0.0326126,0,0.258836,0.4847
547.559,547.52,0.638823,0.0778149
0.00658936,0,0.647664,1.0197
118.544,118.528,0.384247,0.0117173
1.38598,1.38202,0.208878,-0.0521771
683.896,683.879,0.674993,0.105815
0.0245181,0.199587,0.425362,-0.0340997
0.0445845,0,0.252699,-1.31882
353.198,353.154,0.59879,0.0613649
0.133976,0.218396,0.17511,-0.0267129
0.12166,0.23928,0.440981,-0.024929
0.0145124,0.231504,0.522559,-0.0354819
0.862858,0.890905,0.587073,-0.0579317
130.532,130.512,0.544202,0.0161873
11.1689,11.1687,0.0544746,-0.0165718
39.1373,39.1272,0.397404,0.00493264
503.327,503.324,0.246342,0.0581415
10.4245,10.3899,0.0470676,-0.0112599
664.152,664.142,0.437663,0.0760136
812.555,812.553,0.409324,0.0592295
0.0454219,0,0.30848,0.442768
2.55018,2.46276,0.151466,-0.0405071
2.20539,2.12487,0.477739,-0.0549247
0.00114013,0,0.872468,0.541797
387.775,387.762,0.332313,0.0682893
0.00697038,0,0.699878,-4.12495
0.00357082,0,0.813442,0.492041
4.88535,4.87659,0.11678,-0.0121055
137.002,136.987,0.136032,0.0355852
9.00993,8.95222,0.488573,-0.0185226
0.026829,0.209165,0.264425,-0.0368702
0.00172179,0,0.098552,1.02905
36.2773,36.2706,0.44701,-0.00469077
0.0332325,0,0.272084,0.343916
0.197601,0.282785,0.185549,-0.0126183
0.0186946,0.236916,0.327988,-0.0283267
0.00708138,0,0.319536,1.06104
0.181526,0.262517,0.483886,-0.0131702
0.0272474,0.210332,0.109731,-0.0340145
0.168532,0.217917,0.389821,-0.0394287
0.00170192,0.231081,0.864446,-0.0383097
507.332,507.334,0.347432,0.0742062
2.03632,2.01036,0.19275,-0.0473198
0.0200313,0.202364,0.209876,-0.0385303
0.797268,0.818182,0.530222,-0.0419033
0.0145893,0.219062,0.335556,-0.0340494
965.976,965.965,0.317424,0.0837676
0.00688356,0,0.799553,0.366318
0.00112894,0,0.298983,0.993301
48.6021,48.5947,0.288643,0.016444
3.21873,3.1869,0.686887,-0.0388827
0.00616776,0,0.741286,0.106977
78.653,78.6529,0.137579,-0.00111091
0.0228263,0.226604,0.25398,-0.0292531
159.398,159.395,0.178157,0.0132136
1.04244,1.0242,0.375727,-0.049878
2.13402,2.05545,0.19172,-0.0413942
31.2128,31.1447,0.822488,-0.00857925
0.00113021,0,0.573904,0.225158
33.0757,33.0691,0.232279,0.00487798
0.089356,0,0.176758,1.05663
0.166391,0.197483,0.0222003,-0.0318788
964.432,964.413,0.632886,0.082437
0.0268115,0,0.46798,0.704439
0.0253145,0,0.105729,0.109811
0.00162866,0,0.672408,1.0646
368.942,368.921,0.579741,0.0585972
0.0151098,0.227235,0.347784,-0.0212543
