iteration,lambda,gamma,mse
0,100.0,5.0,0.13042151927947998
1,99.99981370579917,5.000103986123577,0.15754447877407074
2,99.99962356955803,4.9999683430360164,0.14928703010082245
3,99.99945563008077,4.999982942727911,0.13768453896045685
4,99.99928634196112,4.999887324253905,0.1438094824552536
5,99.99910680370522,4.999724478587268,0.14163438975811005
6,99.99893297816743,4.999717666288689,0.1326448768377304
7,99.9987447042513,4.999789059520026,0.15455500781536102
8,99.99856903940963,4.9997412673524195,0.14737503230571747
9,99.99836179736303,4.999640713479948,0.1812393069267273
10,99.99815996331745,4.9995310404679,0.15954004228115082
