lambda,rho,Kf_cond,Kc_cond
1,0.0661848187446594,262.658386230469,133.938400268555
2,0.0547263622283936,131.829055786133,66.6350326538086
3,0.0579161643981934,88.2193450927734,45.3999633789063
4,0.0573816895484924,66.4144973754883,34.2657737731934
5,0.0921747088432312,53.3315925598145,27.6438961029053
6,0.0627302527427673,44.6096572875977,23.4113864898682
7,0.077137291431427,38.3797035217285,19.5122299194336
8,0.104870796203613,33.7072410583496,17.6035747528076
9,0.095427393913269,30.0730991363525,15.2893180847168
10,0.0898456573486328,27.1657886505127,14.4644136428833
11,0.105237185955048,24.7870807647705,13.1772918701172
12,0.133570075035095,22.8048229217529,12.2265472412109
13,0.136081874370575,21.1275291442871,11.4086961746216
14,0.126725792884827,19.689847946167,10.5300416946411
15,0.148517906665802,18.4438571929932,9.91662788391113
16,0.143706440925598,17.3536167144775,9.19212913513184
17,0.140655755996704,16.3916397094727,8.71478080749512
18,0.160636186599731,15.536548614502,8.23868751525879
19,0.185768485069275,14.771466255188,8.03397846221924
20,0.177012205123901,14.082893371582,7.59667110443115
21,0.189027905464172,13.4598979949951,7.26599025726318
22,0.179401695728302,12.8935394287109,6.9948148727417
23,0.186637938022614,12.376428604126,6.79624938964844
24,0.207020461559296,11.9024105072021,6.60290956497192
25,0.205708503723145,11.4663143157959,6.3224139213562
26,0.202690303325653,11.0637636184692,5.9703688621521
27,0.189953744411469,10.6910314559937,5.73572969436646
28,0.183744728565216,10.3449230194092,5.63435220718384
29,0.219268560409546,10.0226850509644,5.60824918746948
30,0.223500609397888,9.72192859649658,5.36837148666382
31,0.24223929643631,9.44057559967041,5.34867191314697
32,0.242335796356201,9.17680835723877,5.12158441543579
33,0.233803749084473,8.92902660369873,4.96684217453003
34,0.224051475524902,8.69581985473633,4.78818893432617
35,0.242918074131012,8.47593879699707,4.72108602523804
36,0.225653827190399,8.26827430725098,4.57741594314575
37,0.268246054649353,8.07183456420898,4.63488340377808
38,0.226503074169159,7.88573312759399,4.40181016921997
39,0.236360311508179,7.7091760635376,4.31534481048584
40,0.278213143348694,7.54144668579102,4.3168363571167
41,0.260283589363098,7.38189935684204,4.18555402755737
42,0.285149395465851,7.22994899749756,4.17921733856201
43,0.27670830488205,7.08506679534912,4.10209846496582
44,0.26803731918335,6.94676971435547,3.96433615684509
45,0.30837893486023,6.81461906433106,4.03028678894043
46,0.29303503036499,6.68821430206299,3.88570237159729
47,0.29320502281189,6.56718873977661,3.80576276779175
48,0.280218124389648,6.45120525360107,3.71677947044373
49,0.303124070167542,6.33995628356934,3.68491888046265
50,0.300269365310669,6.23315715789795,3.65112400054932
51,0.306604206562042,6.13054609298706,3.59190344810486
52,0.299149751663208,6.03188180923462,3.50534963607788
53,0.302980601787567,5.93694067001343,3.47799944877625
54,0.302572727203369,5.84551572799683,3.40645742416382
55,0.338445425033569,5.75741577148438,3.43911671638489
56,0.307817578315735,5.67246198654175,3.35526347160339
57,0.332041084766388,5.59048891067505,3.38193559646606
58,0.318260729312897,5.51134252548218,3.26774072647095
59,0.295007050037384,5.43487882614136,3.15285634994507
60,0.305274724960327,5.36096429824829,3.15092372894287
61,0.331828892230988,5.28947305679321,3.17281746864319
62,0.338248610496521,5.22028779983521,3.1601767539978
63,0.346421182155609,5.15329933166504,3.14164066314697
64,0.352316021919251,5.08840417861939,3.04269433021545
65,0.342676341533661,5.02550506591797,3.01532745361328
66,0.356691896915436,4.96451282501221,3.0188455581665
67,0.351052701473236,4.90534067153931,2.95111560821533
68,0.355036854743958,4.84790945053101,2.92831158638001
69,0.375055551528931,4.79214239120483,2.98304390907288
70,0.351689517498016,4.73796892166138,2.86623883247376
71,0.355643570423126,4.68532180786133,2.83794832229614
72,0.369177520275116,4.63413667678833,2.83612489700317
73,0.367504119873047,4.58435392379761,2.83775925636292
74,0.38277542591095,4.53591680526733,2.80941915512085
75,0.375840961933136,4.48877096176148,2.78055858612061
76,0.365950405597687,4.44286632537842,2.72587060928345
77,0.392480969429016,4.39815378189087,2.72025346755981
78,0.387004911899567,4.35458755493164,2.69358897209168
79,0.384298980236053,4.31212472915649,2.68522191047668
80,0.407987236976624,4.27072286605835,2.68710327148438
81,0.38619464635849,4.23034381866455,2.64565539360046
82,0.396542310714722,4.19094944000244,2.63035488128662
83,0.404707968235016,4.15250396728516,2.61872529983521
84,0.385842144489288,4.11497402191162,2.5720636844635
85,0.399973571300507,4.07832765579224,2.54313039779663
86,0.383654892444611,4.0425329208374,2.50891137123108
87,0.399538278579712,4.00756120681763,2.54505729675293
88,0.395976841449738,3.97338461875916,2.47620868682861
89,0.404345870018005,3.93997573852539,2.47740864753723
90,0.420449912548065,3.90730929374695,2.49626016616821
91,0.38828706741333,3.87536072731018,2.44140362739563
92,0.39152055978775,3.84410691261292,2.3982892036438
93,0.426855146884918,3.81352519989014,2.43423175811768
94,0.397562325000763,3.78359389305115,2.37448310852051
95,0.404117226600647,3.7542929649353,2.37453055381775
96,0.425627648830414,3.72560238838196,2.39900755882263
97,0.403236448764801,3.69750356674194,2.32425022125244
98,0.427367866039276,3.66997790336609,2.35160231590271
99,0.445435166358948,3.64300847053528,2.36596083641052
100,0.431686341762543,3.6165783405304,2.36214137077332
101,0.450209021568298,3.59067153930664,2.36830043792725
102,0.433642983436585,3.56527280807495,2.31635904312134
103,0.452571988105774,3.54036736488342,2.31040239334106
104,0.415855705738068,3.51594066619873,2.23978424072266
105,0.410474479198456,3.49197936058044,2.22160291671753
106,0.423781335353851,3.46847009658813,2.23082184791565
107,0.438014328479767,3.44540023803711,2.24138712882996
108,0.421725690364838,3.42275786399841,2.20228338241577
109,0.428767681121826,3.40053057670593,2.19646549224854
110,0.446668922901154,3.37870764732361,2.22211170196533
111,0.441172122955322,3.35727787017822,2.17712640762329
112,0.418204843997955,3.3362307548523,2.14960026741028
113,0.447997629642487,3.31555604934692,2.17381167411804
114,0.43806117773056,3.29524421691895,2.1463987827301
115,0.466191470623016,3.27528548240662,2.18086194992065
116,0.431445121765137,3.25567102432251,2.09670066833496
117,0.451523542404175,3.23639178276062,2.1133394241333
118,0.458613693714142,3.21743941307068,2.11508440971375
119,0.47197151184082,3.19880533218384,2.12401056289673
120,0.452328026294708,3.18048191070557,2.11003494262695
121,0.48217910528183,3.16246151924133,2.14193272590637
122,0.476442635059357,3.14473628997803,2.097736120224
123,0.448840320110321,3.12729954719543,2.06637477874756
124,0.435376644134522,3.1101438999176,2.05027461051941
125,0.471000611782074,3.09326267242432,2.07224535942078
126,0.479650735855103,3.07664942741394,2.06869435310364
127,0.443388879299164,3.06029796600342,2.02496600151062
128,0.463199496269226,3.04420185089111,2.0145525932312
129,0.457343757152557,3.02835536003113,1.99903285503387
130,0.474038898944855,3.01275253295898,2.0212881565094
131,0.454494833946228,2.99738812446594,1.99131858348846
132,0.480586171150208,2.9822564125061,2.00747227668762
133,0.490075826644897,2.96735215187073,2.01859188079834
134,0.490273654460907,2.95267033576965,1.99193358421326
135,0.466525912284851,2.9382061958313,1.95972967147827
136,0.507538974285126,2.9239547252655,2.0063419342041
137,0.457914412021637,2.90991115570068,1.93909156322479
138,0.454690039157867,2.89607119560242,1.93995022773743
139,0.472106397151947,2.88243055343628,1.9576016664505
140,0.480411529541016,2.86898446083069,1.94875121116638
141,0.496901035308838,2.85572934150696,1.95142233371735
142,0.472673892974854,2.84266090393066,1.91317558288574
143,0.490696907043457,2.82977509498596,1.9193274974823
144,0.477609097957611,2.81706833839417,1.9004203081131
145,0.497253060340881,2.80453681945801,1.91766715049744
146,0.501413345336914,2.7921769618988,1.91831576824188
147,0.465331614017487,2.77998518943787,1.9086000919342
148,0.480022847652435,2.76795840263367,1.86288475990295
149,0.491562247276306,2.75609278678894,1.87408363819122
150,0.494399547576904,2.74438548088074,1.87364339828491
151,0.488058030605316,2.73283338546753,1.85450756549835
152,0.530888438224793,2.72143316268921,1.90728199481964
153,0.537347733974457,2.71018195152283,1.89569687843323
154,0.490450739860535,2.69907689094543,1.84932482242584
155,0.511249661445618,2.68811511993408,1.8520827293396
156,0.507421493530273,2.67729377746582,1.85036253929138
157,0.488350689411163,2.66661047935486,1.81894445419312
158,0.502143144607544,2.65606236457825,1.8174843788147
159,0.495783507823944,2.64564681053162,1.83155620098114
160,0.507178783416748,2.63536143302918,1.8194465637207
161,0.53354799747467,2.62520384788513,1.84972178936005
162,0.503898859024048,2.61517190933228,1.81468760967255
163,0.526226758956909,2.60526275634766,1.83186328411102
164,0.481412410736084,2.59547472000122,1.77956533432007
165,0.516323924064636,2.5858051776886,1.81245601177216
166,0.521427869796753,2.57625198364258,1.80038821697235
167,0.492971539497376,2.56681346893311,1.77387535572052
168,0.502227902412415,2.55748701095581,1.78957295417786
169,0.548954129219055,2.54827117919922,1.81522691249847
170,0.517415225505829,2.53916382789612,1.78796136379242
171,0.516907811164856,2.5301628112793,1.76552045345306
172,0.510603308677673,2.5212664604187,1.76039779186249
173,0.496809720993042,2.51247310638428,1.75477755069733
174,0.506855726242065,2.50378060340881,1.7590548992157
175,0.510875105857849,2.49518752098084,1.73848044872284
176,0.522602200508118,2.48669219017029,1.75322902202606
177,0.511863470077515,2.47829294204712,1.74427890777588
178,0.523627519607544,2.4699878692627,1.74329710006714
179,0.538062572479248,2.46177554130554,1.74760890007019
180,0.517832100391388,2.45365476608276,1.73307001590729
181,0.532104671001434,2.44562339782715,1.73865222930908
182,0.526785969734192,2.43768048286438,1.71740972995758
183,0.511655449867249,2.4298243522644,1.70440351963043
184,0.524492740631104,2.42205357551575,1.71906244754791
185,0.527360916137695,2.41436672210693,1.71409380435944
186,0.526610791683197,2.40676259994507,1.70874667167664
187,0.539204955101013,2.39923977851868,1.72193145751953
188,0.51531195640564,2.39179706573486,1.70757651329041
189,0.523014068603516,2.38443303108215,1.68071293830872
190,0.518854856491089,2.37714648246765,1.68524873256683
191,0.558570981025696,2.36993622779846,1.71243846416473
192,0.533345460891724,2.36280131340027,1.68067252635956
193,0.515987992286682,2.35574007034302,1.66590189933777
194,0.546835362911224,2.34875178337097,1.68864285945892
195,0.532573461532593,2.34183502197266,1.6710079908371
196,0.542563259601593,2.33498907089233,1.6811375617981
197,0.54597532749176,2.32821226119995,1.68522262573242
198,0.537898600101471,2.32150411605835,1.66710686683655
199,0.545682072639465,2.31486344337463,1.66577589511871
200,0.524402976036072,2.30828928947449,1.65265107154846
201,0.553398609161377,2.30178022384644,1.66668426990509
202,0.556185007095337,2.29533576965332,1.65415120124817
203,0.574507713317871,2.28895497322083,1.67447352409363
204,0.521250069141388,2.28263640403748,1.62876892089844
205,0.540651619434357,2.27637958526611,1.63690197467804
206,0.525526404380798,2.27018356323242,1.6279444694519
207,0.560870289802551,2.26404762268066,1.65542602539063
208,0.551618576049805,2.25797033309937,1.6266131401062
209,0.547704458236694,2.25195145606995,1.62870943546295
